bar_id,drinker_id,start_date,mon_early_avg_sales,mon_late_avg_sales,tues_early_avg_sales,tues_late_avg_sales,wed_early_avg_sales,wed_late_avg_sales,thurs_early_avg_sales,thurs_late_avg_sales,fri_early_avg_sales,fri_late_avg_sales,sat_early_avg_sales,sat_late_avg_sales,sun_early_avg_sales,sun_late_avg_sales
1,2034,2017-2-11,\N,\N,216,\N,\N,\N,\N,\N,250,\N,\N,\N,\N,\N,
1,6933,2016-5-12,\N,\N,443,282,\N,\N,\N,\N,\N,184,\N,\N,\N,282,
1,6803,2015-11-16,\N,\N,\N,\N,\N,\N,\N,\N,234,\N,\N,212,\N,\N,
1,1771,2013-8-31,\N,\N,\N,\N,\N,400,196,\N,\N,264,\N,313,\N,175,
1,6977,2014-5-13,286,\N,\N,\N,\N,\N,\N,291,\N,\N,280,\N,\N,230,
1,160,2013-2-8,\N,\N,\N,\N,\N,\N,\N,\N,224,\N,\N,340,\N,\N,
1,1634,2013-9-27,\N,\N,\N,\N,\N,\N,\N,299,\N,343,305,256,\N,252,
1,8319,2014-1-16,\N,\N,312,\N,\N,\N,\N,244,261,304,163,\N,\N,369,
1,3720,2017-7-19,\N,\N,426,\N,\N,388,\N,\N,\N,206,321,\N,\N,273,
1,1526,2014-3-22,\N,\N,\N,\N,\N,221,\N,206,\N,236,\N,266,\N,\N,
1,6083,2014-12-30,\N,\N,\N,\N,\N,174,426,\N,\N,313,314,\N,\N,250,
2,3675,2016-9-23,\N,\N,\N,\N,\N,409,204,\N,193,\N,\N,\N,369,\N,
2,1189,2015-12-25,\N,\N,\N,\N,312,\N,213,230,\N,\N,\N,\N,352,327,
2,4169,2016-2-17,\N,\N,\N,\N,\N,\N,\N,203,\N,281,\N,\N,\N,\N,
2,8976,2013-10-13,\N,\N,199,311,\N,\N,\N,\N,\N,274,246,\N,366,196,
2,572,2014-8-9,\N,\N,393,286,198,434,\N,\N,\N,\N,\N,\N,\N,250,
2,4220,2014-9-24,\N,\N,396,\N,\N,211,\N,\N,\N,320,212,\N,\N,\N,
3,8938,2012-12-24,\N,390,\N,235,177,\N,159,246,225,\N,\N,\N,\N,\N,
3,8675,2017-5-31,\N,375,332,\N,182,\N,212,\N,209,\N,\N,\N,\N,\N,
3,3197,2012-12-8,\N,211,\N,\N,\N,\N,234,\N,\N,\N,\N,\N,\N,\N,
3,7034,2016-5-31,\N,\N,\N,304,\N,175,\N,181,250,\N,\N,\N,\N,297,
3,9367,2012-12-20,\N,\N,\N,\N,\N,177,\N,317,\N,\N,\N,\N,\N,\N,
3,887,2014-2-27,\N,409,\N,\N,174,\N,\N,\N,\N,\N,253,\N,\N,\N,
3,8726,2014-1-4,\N,\N,219,\N,354,373,\N,\N,\N,\N,\N,\N,\N,267,
3,5061,2016-11-12,\N,398,\N,\N,\N,\N,261,245,\N,\N,\N,\N,\N,201,
3,5105,2017-9-13,\N,\N,400,\N,\N,\N,\N,\N,\N,\N,319,\N,\N,339,
3,9736,2013-2-2,\N,194,299,427,\N,\N,206,\N,\N,\N,\N,\N,421,\N,
3,2454,2017-9-23,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,267,\N,\N,254,
4,1136,2014-1-17,\N,\N,379,\N,187,381,228,\N,\N,174,\N,\N,\N,291,
4,3549,2014-9-22,\N,\N,\N,\N,\N,218,402,196,\N,264,\N,289,\N,210,
4,3954,2015-3-12,\N,\N,175,294,\N,206,408,\N,\N,197,\N,\N,\N,235,
4,7222,2013-5-13,\N,\N,\N,312,\N,\N,\N,\N,\N,\N,\N,294,\N,\N,
4,2838,2013-9-1,\N,\N,\N,\N,\N,\N,\N,282,\N,\N,298,\N,\N,\N,
4,935,2016-3-7,\N,\N,\N,318,\N,\N,389,\N,\N,\N,\N,\N,\N,298,
4,2099,2017-6-19,\N,343,\N,\N,\N,\N,200,\N,163,\N,259,\N,\N,313,
4,6208,2015-9-9,\N,\N,\N,\N,\N,199,\N,230,\N,297,\N,\N,440,\N,
4,1186,2015-5-12,\N,\N,\N,300,\N,179,\N,\N,\N,\N,\N,\N,\N,\N,
4,3670,2015-6-24,\N,\N,199,\N,\N,314,\N,\N,\N,\N,256,\N,\N,290,
5,126,2015-3-13,\N,\N,443,\N,153,\N,\N,197,\N,\N,\N,223,\N,274,
5,5358,2017-5-24,\N,\N,\N,\N,\N,173,353,195,\N,257,\N,\N,354,276,
5,2515,2013-6-17,\N,\N,\N,\N,\N,\N,440,\N,\N,\N,\N,333,\N,\N,
5,6032,2016-12-13,283,\N,\N,\N,\N,\N,183,\N,288,\N,334,\N,\N,\N,
5,938,2015-1-1,\N,\N,\N,\N,\N,\N,\N,\N,236,\N,325,\N,\N,\N,
5,5664,2017-2-25,\N,\N,\N,\N,\N,\N,\N,230,\N,\N,283,\N,397,\N,
5,4666,2017-10-31,\N,451,\N,\N,197,\N,203,\N,202,\N,\N,\N,444,304,
6,7828,2017-5-20,272,\N,\N,319,\N,\N,\N,\N,\N,342,228,\N,359,272,
6,9111,2013-6-30,\N,\N,383,\N,\N,\N,\N,197,\N,260,\N,\N,\N,193,
6,5758,2013-4-5,\N,406,\N,171,162,\N,\N,\N,249,\N,295,\N,\N,298,
6,3466,2014-12-23,\N,157,\N,\N,\N,\N,192,\N,\N,\N,\N,\N,\N,\N,
6,8767,2015-8-24,\N,\N,\N,\N,\N,391,188,\N,\N,\N,\N,\N,\N,\N,
6,4853,2017-8-7,\N,\N,423,295,\N,\N,\N,\N,284,287,226,\N,\N,253,
6,7558,2016-6-12,\N,\N,203,\N,\N,\N,\N,\N,239,\N,\N,286,\N,\N,
7,8386,2015-11-3,\N,209,\N,\N,211,\N,\N,\N,283,\N,200,\N,\N,245,
7,2276,2013-8-12,\N,\N,170,\N,\N,\N,\N,\N,268,\N,\N,\N,\N,274,
7,5682,2013-12-21,\N,341,\N,\N,479,220,\N,249,\N,\N,280,\N,\N,288,
7,1606,2013-12-3,\N,\N,\N,\N,\N,394,203,\N,\N,208,\N,\N,\N,\N,
7,9676,2017-1-22,\N,\N,\N,276,\N,175,365,\N,\N,\N,\N,\N,\N,\N,
7,1350,2017-7-23,\N,289,432,\N,\N,\N,\N,\N,\N,223,\N,184,\N,280,
