drinker_id,bar_id
1,84
1,50
1,159
2,18
2,180
2,35
3,103
4,36
4,32
5,32
5,17
5,137
6,72
6,27
6,60
6,146
8,156
8,11
10,141
10,17
10,70
10,83
11,50
12,49
12,195
14,73
15,49
15,172
15,42
16,80
17,94
17,67
18,163
18,145
18,9
19,132
19,67
19,138
21,52
22,121
22,100
22,73
24,33
24,76
25,148
25,74
26,90
26,5
26,26
26,143
28,55
28,92
28,108
29,156
30,44
30,82
31,145
31,23
31,120
31,32
32,82
35,137
35,49
35,63
36,130
36,35
36,3
37,142
37,89
38,24
38,122
38,25
38,70
40,145
41,12
42,153
42,35
42,30
43,27
43,151
43,91
44,149
45,18
45,191
47,72
47,197
47,124
48,121
48,51
48,200
49,73
49,182
50,76
50,122
50,41
51,31
51,21
51,13
52,157
52,24
52,128
52,63
53,30
53,119
53,171
53,12
55,169
55,113
55,117
56,89
56,76
57,6
57,195
57,183
57,145
58,90
59,132
62,92
62,156
64,74
64,68
64,33
65,120
65,199
65,100
66,60
66,10
66,101
66,141
67,43
67,16
67,193
68,113
69,100
69,22
69,19
69,159
70,156
72,100
73,61
73,172
73,87
73,176
74,124
74,128
74,20
74,178
75,48
77,111
78,193
80,29
80,134
81,59
81,85
81,117
83,123
84,130
84,20
85,65
85,190
85,29
85,121
87,172
87,38
87,22
89,111
89,120
89,60
89,125
90,104
90,112
90,88
90,72
91,189
91,167
91,53
91,123
94,93
94,162
94,168
95,148
95,26
95,66
97,178
97,168
97,73
98,172
98,13
98,39
99,7
99,62
100,104
100,100
102,10
103,96
103,153
103,4
103,17
104,148
104,103
104,62
107,64
107,25
107,126
107,152
108,52
108,73
108,160
111,180
112,29
113,8
113,175
113,133
113,179
114,17
114,73
114,172
114,180
115,199
115,125
115,184
115,98
118,78
118,90
118,28
118,43
119,133
119,79
119,168
119,53
120,20
120,19
120,128
120,34
121,76
122,102
122,138
125,63
125,190
129,194
129,51
129,70
129,175
130,125
130,25
131,169
131,138
132,105
132,172
132,133
132,154
134,93
134,154
136,104
136,108
136,80
136,153
137,130
137,38
138,69
139,50
139,200
139,9
143,108
143,5
143,188
143,200
144,170
144,99
145,28
146,190
146,76
146,90
146,180
147,146
147,168
148,95
148,73
148,12
148,84
149,26
149,23
150,166
150,35
150,49
150,148
151,89
151,58
151,64
151,153
152,143
153,176
154,187
155,60
156,65
158,200
158,186
158,63
159,18
160,47
161,125
161,80
161,196
161,76
162,34
163,58
164,98
164,191
165,125
166,111
167,30
167,130
167,167
168,134
168,121
169,41
169,177
169,8
170,45
170,187
170,39
171,64
172,26
172,86
172,190
172,175
173,60
173,89
173,181
173,172
174,92
174,135
175,95
175,15
175,138
177,5
177,58
177,9
178,55
178,88
179,77
181,73
181,32
181,177
182,196
182,85
182,166
184,10
184,128
184,34
184,123
185,174
185,25
185,172
186,156
188,12
188,98
188,53
188,54
189,81
189,112
190,108
190,97
190,159
190,13
193,131
193,8
193,18
194,152
194,109
194,38
195,186
195,28
196,127
198,135
198,196
199,21
199,8
199,51
199,71
200,23
200,73
201,131
201,9
201,51
201,160
204,200
204,13
204,119
206,118
206,162
206,147
206,125
207,191
207,168
207,142
207,153
208,197
208,86
208,108
208,183
209,90
209,94
210,49
210,163
210,87
210,84
211,106
211,14
211,180
211,11
212,83
212,72
214,61
214,4
214,52
214,80
215,122
215,76
215,134
216,75
217,193
217,109
217,129
217,147
218,53
218,140
219,117
219,83
219,79
220,147
220,82
220,159
222,48
222,34
225,155
225,46
225,71
226,30
226,56
227,131
227,53
228,174
228,79
228,27
230,15
231,108
231,105
231,192
231,121
233,48
233,56
233,182
234,69
234,145
234,110
234,125
235,88
235,131
235,93
236,119
237,135
237,76
237,94
237,51
238,146
238,89
238,43
238,25
240,51
240,122
241,144
241,46
241,54
241,79
242,47
242,149
243,113
243,191
243,168
243,166
244,173
244,10
244,184
245,51
245,32
245,63
245,36
246,144
246,178
246,196
246,173
247,89
248,165
248,164
248,85
248,160
249,102
249,196
252,29
252,54
252,79
253,106
253,128
253,178
253,62
254,13
254,169
256,119
256,157
256,174
257,76
259,181
262,89
262,158
264,113
264,91
264,136
265,16
265,38
265,49
265,122
266,10
266,111
266,97
270,30
270,42
270,23
270,137
272,20
272,100
272,34
272,173
273,141
273,114
274,187
276,195
276,106
276,170
276,131
277,126
278,172
278,7
278,68
278,185
279,134
280,67
280,184
282,58
282,119
282,79
283,59
283,157
283,34
283,118
284,39
284,195
284,46
284,33
285,157
285,110
285,1
285,70
286,196
286,152
286,14
286,165
287,72
288,150
288,111
288,124
288,38
289,74
290,200
290,53
290,187
291,169
292,143
292,182
293,173
294,4
294,152
294,29
294,2
295,180
295,174
296,104
296,91
296,49
297,131
297,79
298,190
298,59
299,120
299,105
299,23
301,1
301,51
301,26
302,8
302,27
302,6
302,57
303,21
303,44
303,162
305,45
305,139
305,174
306,170
311,85
311,109
312,99
312,199
312,129
312,76
313,57
313,18
313,31
313,189
314,18
315,175
315,147
316,90
316,67
317,59
318,76
318,175
318,122
319,139
319,22
319,9
319,178
320,85
320,165
320,65
321,8
321,45
321,19
321,123
322,162
322,59
322,51
323,107
323,91
323,35
324,26
324,27
324,199
324,61
325,101
325,156
326,109
326,9
327,34
328,41
328,2
330,37
330,150
330,126
331,129
331,87
332,82
332,61
333,100
333,174
333,122
333,13
334,110
334,146
334,147
334,196
335,10
335,55
336,115
336,164
336,19
337,56
337,165
338,62
338,54
339,116
339,121
340,119
340,154
340,120
340,115
342,158
342,151
342,89
343,42
343,176
343,182
344,39
344,165
344,9
345,182
345,38
347,8
348,31
348,152
348,150
348,63
349,26
349,126
349,133
351,168
351,122
355,151
355,58
355,16
356,3
356,195
356,10
356,36
357,186
357,177
357,35
361,136
361,199
362,153
362,84
363,182
363,51
363,145
364,193
364,91
364,155
365,195
366,90
366,29
366,99
366,39
367,172
367,146
367,129
368,156
368,73
369,34
369,152
369,30
370,7
370,170
370,159
371,22
372,87
372,155
372,65
372,118
374,59
374,14
375,33
375,129
375,138
376,186
377,49
377,170
377,160
377,90
378,93
379,72
379,149
380,96
380,106
382,19
383,81
384,35
384,67
384,43
384,86
386,56
387,132
388,126
388,45
388,98
389,103
390,151
390,65
390,98
391,168
391,146
393,30
394,35
394,75
394,25
394,179
397,26
397,161
397,6
397,125
398,70
399,139
399,152
399,93
399,193
401,102
401,150
401,128
401,48
402,92
402,115
402,42
404,23
406,87
407,66
408,14
408,112
409,199
411,5
412,104
413,84
413,17
414,190
414,25
414,147
415,125
415,179
416,124
416,14
417,176
417,76
417,184
419,95
419,8
419,183
420,88
420,191
420,83
421,59
421,13
421,96
421,158
422,40
422,33
422,106
423,17
423,4
423,113
424,18
424,174
424,83
425,93
425,3
425,191
425,66
427,163
427,14
429,169
429,74
429,128
430,43
430,199
430,86
431,132
432,158
434,95
434,143
434,30
435,12
436,92
436,173
436,150
437,86
437,36
438,185
438,104
438,147
438,166
439,101
439,58
440,88
440,77
440,176
441,77
441,151
441,110
443,52
443,28
443,32
444,108
445,167
447,111
447,25
448,87
449,111
451,52
451,155
451,21
451,82
452,37
453,41
453,94
453,130
454,19
454,25
454,158
455,171
455,115
456,127
456,97
456,47
457,111
458,126
461,142
461,52
462,101
462,138
462,62
463,114
465,49
465,137
465,69
466,112
466,101
466,154
467,93
468,161
468,186
468,169
469,82
469,142
469,196
471,59
471,70
471,160
472,161
473,11
474,18
474,109
478,178
479,92
479,111
480,87
480,193
480,94
483,159
483,169
485,23
485,126
485,146
486,7
486,17
486,108
487,14
488,180
488,70
488,41
488,131
489,101
489,40
489,109
491,92
491,88
491,133
492,141
492,195
492,196
493,153
494,151
494,147
494,179
495,55
496,118
497,191
497,37
497,113
497,198
498,116
498,189
500,98
500,154
500,187
500,43
501,85
501,173
501,174
502,193
502,15
503,55
503,25
503,175
504,41
504,79
504,182
505,7
505,30
505,129
505,111
506,181
506,180
506,145
506,174
507,142
508,197
508,6
508,129
509,2
509,161
509,25
509,51
511,66
511,142
512,122
512,177
512,199
512,146
513,114
513,180
514,44
514,62
515,51
519,198
519,171
519,193
520,163
520,170
520,70
523,33
523,66
524,90
524,132
524,184
524,113
525,36
525,32
525,175
526,92
527,178
527,38
528,141
528,12
528,186
529,46
529,162
529,130
531,29
532,63
533,25
534,104
534,123
534,42
536,86
537,11
537,190
537,87
539,81
539,146
539,161
539,107
540,182
541,65
542,183
542,135
542,23
542,17
544,192
544,42
544,174
544,40
545,107
545,70
545,130
546,31
547,129
547,115
547,173
548,180
548,13
548,73
548,154
549,18
550,84
551,41
551,108
552,20
552,37
552,45
552,153
553,67
553,62
555,106
556,184
556,145
556,39
556,110
557,54
557,84
557,186
558,122
558,150
559,102
559,113
559,84
559,108
562,190
562,192
562,34
563,18
564,158
564,148
566,172
566,31
567,18
567,135
567,130
567,36
568,155
568,110
568,144
569,155
569,13
569,143
569,62
570,106
570,186
571,104
571,123
572,118
572,13
572,89
572,32
573,190
574,156
574,55
574,26
575,150
575,155
577,120
577,153
577,176
577,121
578,21
578,51
578,114
579,55
579,170
579,87
579,36
580,65
581,89
581,103
582,176
583,88
583,14
584,199
584,139
584,34
586,183
586,149
587,165
587,36
587,35
587,43
590,67
590,94
590,130
591,73
591,18
591,100
592,79
592,121
592,159
592,176
593,84
593,77
593,174
595,178
597,73
597,22
597,104
599,90
599,191
599,132
599,33
601,6
601,116
601,120
601,2
602,186
602,49
602,131
603,27
603,35
603,1
603,195
604,22
604,77
605,26
605,6
605,78
606,146
606,194
606,113
606,72
607,42
608,62
608,44
609,134
609,130
610,34
611,50
611,189
611,33
611,104
613,91
613,157
614,25
614,141
614,195
614,49
615,120
615,34
616,147
616,2
621,96
621,44
624,175
625,50
625,47
625,110
626,30
626,50
626,46
626,111
629,187
629,91
629,5
629,76
631,141
631,183
631,96
632,168
632,164
633,80
633,123
633,178
633,13
634,141
634,97
635,54
635,133
635,25
635,168
636,25
637,50
637,133
639,98
639,33
639,164
639,198
640,5
640,177
640,3
640,197
641,4
641,59
642,196
643,32
643,53
643,63
644,192
644,96
644,70
644,195
645,158
645,64
645,117
645,65
647,17
648,74
648,160
648,182
648,15
649,90
649,97
649,164
649,115
650,150
652,41
652,130
653,93
653,188
653,76
653,88
654,80
654,165
656,173
656,144
656,141
656,26
658,198
658,120
659,7
659,33
659,1
659,179
660,11
660,148
660,104
661,109
661,184
662,8
663,101
663,68
663,37
663,83
664,83
664,69
666,102
667,27
667,107
668,66
668,144
668,116
670,140
671,189
671,118
672,132
673,129
673,70
673,26
674,149
674,82
674,25
675,100
676,168
676,39
676,29
676,53
677,83
677,165
678,103
678,124
679,155
681,170
681,162
682,111
682,6
683,120
683,122
684,162
684,68
685,111
685,75
685,135
685,193
686,64
686,80
687,148
687,110
688,40
688,51
688,200
688,2
690,178
690,21
690,85
691,100
691,183
691,199
692,183
693,87
694,175
694,116
694,187
694,110
695,96
695,27
695,30
695,10
696,187
696,129
696,113
697,8
698,67
698,15
698,109
700,141
700,55
701,182
701,36
702,42
703,164
704,98
705,141
706,75
706,153
706,91
706,70
707,96
707,22
707,2
707,90
708,99
708,179
708,177
709,145
709,92
709,159
710,94
710,153
710,147
710,162
711,187
712,26
713,82
713,164
713,98
713,2
714,88
714,144
714,125
714,153
715,69
715,199
717,146
718,151
718,27
718,9
718,166
720,111
721,135
724,50
724,143
724,38
727,114
727,191
727,16
727,105
729,113
730,166
731,136
731,60
732,40
732,95
732,150
733,32
733,132
733,158
733,37
734,123
736,175
736,183
736,66
736,48
737,101
737,83
737,177
739,133
739,94
742,198
742,10
742,94
742,172
743,185
743,151
743,183
743,178
745,11
745,103
746,162
746,118
746,8
746,13
747,64
747,173
747,95
747,53
748,137
749,29
749,70
749,90
750,200
751,193
751,71
753,74
754,24
754,29
754,152
755,32
755,189
755,102
