drinker_id,beer_id
1,86
1,27
2,84
2,72
3,85
3,50
4,77
4,30
4,91
5,66
5,46
5,17
6,66
6,4
6,38
7,84
8,8
8,64
8,35
8,77
9,52
10,85
11,58
13,35
14,60
15,35
16,39
18,1
18,79
18,96
18,84
19,38
20,72
20,45
20,19
21,29
21,62
21,13
22,21
22,94
22,99
23,20
24,93
24,81
24,98
25,48
25,85
25,62
26,22
27,6
27,58
27,42
28,43
28,87
28,44
29,16
29,33
29,73
29,58
30,28
31,15
31,78
31,80
33,32
33,78
33,19
34,65
35,81
35,88
35,27
35,96
37,41
37,54
38,97
38,57
39,49
39,34
39,46
40,64
41,71
41,10
41,7
41,57
42,74
42,14
43,59
43,70
43,88
44,29
44,84
44,38
45,98
45,22
45,78
46,1
46,54
46,31
46,19
47,49
47,43
47,14
49,30
49,57
49,49
49,87
51,0
51,62
51,41
51,13
52,32
52,6
52,15
54,49
54,0
55,64
56,93
56,18
56,95
56,11
57,51
58,44
58,20
58,94
58,77
59,15
60,41
60,87
61,92
62,46
63,15
63,93
63,33
63,14
64,56
65,82
65,17
67,72
68,6
69,65
69,83
70,72
70,15
71,54
71,38
71,11
73,14
73,38
73,76
73,77
74,44
74,22
76,53
76,29
76,62
77,66
78,46
78,32
78,41
79,50
79,5
79,94
81,35
81,90
81,67
81,36
82,2
82,85
83,4
83,13
84,30
84,73
85,45
85,0
85,95
85,93
86,34
86,7
86,54
87,79
88,32
88,91
90,97
90,70
90,15
91,45
94,99
94,50
94,32
95,72
97,10
97,28
97,88
97,9
98,30
98,83
98,76
98,4
99,30
99,45
99,27
99,70
100,56
100,61
100,77
101,58
101,12
101,1
101,24
103,82
104,30
104,1
105,79
106,65
107,71
107,94
111,54
111,15
111,31
111,38
112,41
112,78
113,76
113,20
113,49
113,53
114,27
114,87
114,61
115,59
115,3
115,84
116,15
116,64
116,24
116,11
117,20
117,86
117,83
117,81
118,53
118,12
119,19
119,13
121,58
122,96
122,85
122,80
123,10
123,39
123,14
124,41
124,32
124,9
125,52
125,69
125,32
125,80
126,60
126,29
127,4
127,25
127,36
127,52
128,27
128,59
128,33
129,53
129,59
131,30
131,15
131,97
132,89
133,66
134,43
134,50
134,90
135,95
135,42
135,5
136,5
137,18
137,56
137,1
138,4
138,72
140,8
140,17
141,78
141,13
141,42
141,96
144,60
144,55
144,97
145,96
145,26
145,44
147,86
147,41
147,66
147,68
148,70
148,2
148,53
148,32
149,64
150,11
150,4
152,20
153,22
154,78
154,21
155,90
155,63
156,54
156,56
156,12
156,94
157,65
157,9
157,10
157,84
158,75
158,25
161,94
162,47
162,96
162,74
162,85
164,29
164,82
164,77
165,81
165,38
165,34
168,67
168,3
168,79
168,50
169,79
170,80
170,25
170,87
171,24
171,16
171,61
173,28
176,31
176,63
176,75
176,25
178,75
178,86
179,48
180,4
180,79
180,13
181,53
181,40
182,1
182,59
182,50
182,25
183,47
183,37
184,58
184,14
184,52
185,80
185,50
185,56
186,55
186,1
186,72
186,27
187,46
187,20
187,56
188,79
188,51
188,52
188,34
189,85
190,68
191,59
191,79
191,83
192,8
192,74
192,15
194,94
194,98
194,61
195,35
197,27
197,95
197,75
197,99
198,64
199,84
199,12
199,96
200,96
202,20
202,17
203,43
204,10
204,67
204,87
204,30
205,37
206,48
206,29
207,33
207,4
207,31
208,4
208,9
208,83
208,66
209,33
209,9
209,0
211,11
211,74
211,50
211,84
213,85
213,64
213,94
214,7
214,79
214,54
214,71
215,96
216,43
216,83
216,79
217,2
218,11
218,73
219,84
219,81
219,56
220,78
220,49
221,88
221,79
221,85
221,24
222,49
222,9
222,43
222,46
223,91
223,38
223,56
225,74
225,66
225,39
226,32
226,65
227,43
228,1
228,82
228,56
229,8
230,95
231,70
232,20
232,24
233,10
234,99
234,62
234,93
234,96
235,4
235,40
235,73
235,64
236,10
236,28
236,74
236,12
237,42
237,29
237,39
237,64
238,75
238,56
238,23
238,95
240,76
243,63
244,44
244,14
244,92
245,4
246,80
246,33
246,55
248,18
248,14
249,22
249,44
249,58
249,75
250,59
251,61
251,70
252,30
255,60
255,21
256,64
257,25
257,38
258,97
259,37
259,59
259,30
259,42
260,90
261,82
261,52
261,59
262,29
262,47
262,48
263,47
263,26
263,28
263,7
266,23
267,1
267,84
267,77
267,14
268,0
268,50
268,75
269,99
269,10
269,66
269,21
271,94
271,67
271,37
271,75
272,62
272,98
272,42
273,5
273,61
273,37
273,41
274,73
274,46
274,21
274,41
275,71
277,92
277,38
277,48
277,59
278,13
278,88
279,97
280,61
280,8
280,65
281,54
281,46
281,65
281,61
282,48
282,0
282,80
283,1
283,77
285,9
285,20
286,85
286,30
286,82
287,9
287,45
289,41
290,36
292,73
292,66
292,30
292,69
293,18
293,57
293,14
294,35
295,27
295,95
295,33
295,98
297,84
297,60
297,10
297,18
298,10
299,67
299,76
299,19
299,41
300,97
300,33
300,45
301,90
304,56
305,75
307,79
309,85
309,31
309,58
310,25
310,4
310,61
310,74
311,97
312,39
312,99
313,88
313,13
314,7
314,89
314,61
314,56
315,53
315,69
316,1
316,17
316,96
317,46
317,95
320,62
320,32
320,76
320,56
323,66
323,50
324,92
324,20
325,85
326,99
326,29
328,15
329,40
330,53
330,7
330,96
330,59
331,15
332,90
332,77
332,57
333,64
333,23
334,50
334,82
334,27
335,49
335,70
335,67
335,82
336,10
336,88
336,96
337,45
337,2
340,36
341,98
343,25
343,82
343,93
343,60
344,32
344,54
344,45
344,60
345,91
346,54
346,0
346,16
347,67
348,20
348,28
348,21
349,99
349,49
349,28
349,58
350,73
350,64
350,98
350,97
351,68
353,54
353,11
354,28
354,75
355,93
355,82
356,25
356,28
356,58
356,88
357,7
357,18
357,98
357,58
359,2
359,82
359,31
360,65
360,38
360,75
361,45
361,99
361,85
362,26
363,37
364,59
364,17
365,18
365,27
365,88
365,30
367,21
367,64
368,45
368,84
368,87
368,68
369,76
369,51
369,48
369,21
370,28
370,52
370,82
371,84
371,91
371,61
372,42
372,73
374,14
374,73
374,12
374,24
375,31
375,69
375,32
376,60
376,69
376,90
376,2
377,5
379,29
379,15
381,74
381,24
381,26
383,5
383,37
383,33
384,9
384,71
385,5
385,80
