drinker_id,music_id
1,17
1,2
2,5
2,0
2,19
3,15
3,1
4,18
5,1
5,9
5,14
6,1
7,12
7,14
7,16
8,3
8,8
9,23
9,18
10,7
10,2
10,10
11,22
11,12
11,5
11,17
12,24
13,23
13,9
13,12
14,1
14,21
15,9
15,21
15,4
16,13
17,12
18,4
18,1
18,21
18,9
19,3
20,13
20,14
21,19
21,2
22,9
22,21
23,14
23,5
23,2
23,1
24,5
24,1
24,20
25,15
26,17
26,9
26,4
27,8
27,9
27,24
28,9
28,0
28,23
28,11
29,19
29,17
29,15
30,21
30,0
30,12
31,11
31,21
31,2
31,16
32,17
33,19
33,21
34,6
34,2
34,9
34,8
35,20
35,17
35,11
36,8
37,18
37,23
37,14
37,13
38,5
38,24
38,13
38,8
39,3
40,13
41,23
41,19
42,15
42,10
43,23
43,5
43,9
43,15
44,23
44,22
44,0
44,6
45,16
45,6
45,17
45,10
46,18
46,22
47,14
47,16
48,23
48,11
49,6
49,12
49,7
50,15
51,9
51,12
52,23
52,15
52,6
52,5
53,13
53,23
54,22
54,14
54,11
55,10
55,3
56,3
57,6
58,10
58,4
59,8
60,15
60,18
61,16
62,22
63,9
63,5
63,20
64,8
65,18
66,18
66,21
67,1
68,17
68,22
68,1
69,15
69,12
69,21
69,20
70,7
71,4
71,5
71,23
72,17
72,11
72,16
73,11
74,16
74,6
74,3
74,13
75,12
76,18
76,7
76,5
76,0
77,17
77,20
77,23
78,7
78,11
79,1
79,19
79,2
79,13
80,7
81,22
81,0
82,15
82,7
82,3
82,24
83,3
83,8
84,0
84,21
84,11
85,6
85,11
85,16
86,1
87,5
87,2
87,18
88,11
88,0
88,4
88,12
89,7
89,4
90,13
90,22
91,12
91,21
92,21
92,18
93,14
93,8
93,6
94,6
95,19
95,15
96,20
96,15
96,18
97,19
97,12
97,8
98,0
98,19
99,10
100,5
100,6
100,15
101,15
101,5
101,24
101,8
102,24
103,0
103,11
104,12
104,2
105,11
105,13
106,13
106,2
106,0
106,14
107,7
107,10
108,15
109,12
109,2
109,16
109,23
110,24
110,1
111,24
111,0
111,4
112,21
112,0
113,5
113,17
113,0
114,2
114,5
115,0
115,6
115,19
115,24
116,18
117,21
117,14
118,3
118,20
118,9
119,14
119,18
119,1
120,3
120,19
121,6
121,23
121,19
122,6
122,5
123,24
123,5
123,9
124,0
124,1
124,17
125,7
125,11
126,5
126,13
126,0
127,7
127,24
127,21
128,11
128,23
129,11
130,21
131,21
131,2
131,7
131,6
132,1
132,0
132,3
133,0
133,12
133,2
133,17
134,22
134,4
134,19
134,15
135,4
135,12
136,8
136,17
136,13
137,0
137,12
138,7
138,17
138,11
139,11
139,2
140,15
140,19
141,16
141,12
142,7
142,12
142,4
142,6
143,11
143,14
144,7
145,11
146,15
146,21
146,24
146,10
147,4
147,8
148,6
148,2
148,8
148,22
149,4
150,17
151,3
151,22
151,12
151,16
152,20
153,7
153,14
153,17
154,15
155,21
155,7
155,5
156,13
156,23
156,14
156,9
157,6
157,23
157,21
157,1
158,17
158,13
158,18
159,5
159,3
159,18
159,23
160,1
160,21
161,12
161,7
162,23
162,7
162,2
163,15
163,22
163,11
163,7
164,21
165,22
165,17
165,3
166,21
167,13
167,1
168,16
168,9
168,5
168,20
169,23
169,22
169,16
170,1
170,12
171,16
171,17
171,10
171,4
172,0
172,3
172,12
172,11
173,1
173,15
174,9
174,12
174,13
175,0
175,2
176,18
176,14
176,23
177,14
177,19
178,15
178,11
178,20
179,14
180,6
180,19
180,15
180,16
181,18
181,23
181,10
182,9
182,20
183,2
183,10
183,7
184,20
184,8
185,23
186,23
186,13
186,11
186,10
187,9
187,6
187,24
188,15
188,23
189,1
189,11
189,12
189,9
190,15
191,2
192,12
192,15
193,7
193,16
193,17
194,24
194,8
194,15
195,12
195,3
195,7
196,23
196,24
197,7
197,1
197,12
197,19
198,5
198,8
198,13
198,3
199,2
199,19
200,16
200,9
201,10
201,15
201,17
201,22
202,17
202,5
202,14
202,7
203,2
203,14
203,7
204,6
204,1
204,3
205,15
206,15
207,20
207,11
207,21
207,12
208,7
209,22
209,11
209,2
210,0
211,13
211,18
211,1
211,4
212,10
212,22
212,17
212,1
213,8
213,15
213,1
214,13
214,1
215,9
215,18
215,24
215,16
216,12
217,4
217,24
217,13
218,10
218,22
219,22
219,19
220,8
220,12
220,24
220,15
221,22
222,9
222,4
222,3
223,24
223,23
224,12
225,17
226,17
226,10
226,4
227,23
227,6
227,2
227,11
228,20
229,6
230,5
231,24
231,3
231,10
232,20
232,5
232,12
232,24
233,14
233,19
234,0
234,16
235,15
235,23
235,6
235,0
236,17
237,23
237,1
237,14
238,5
238,8
238,6
238,2
239,7
240,24
240,19
240,11
240,7
241,13
242,3
242,20
242,1
243,5
244,19
244,6
245,3
245,2
245,17
245,18
246,4
246,8
247,16
247,10
248,9
249,1
249,0
249,19
249,23
250,11
250,14
251,7
251,17
252,13
252,5
252,6
253,13
253,11
254,13
254,16
255,9
255,22
255,10
256,17
257,1
258,9
258,13
258,14
258,2
259,5
260,3
261,8
261,14
261,10
262,14
263,8
264,1
264,22
264,20
265,1
265,10
265,8
266,7
266,2
266,6
266,3
267,14
267,21
268,9
269,3
269,11
270,11
270,24
270,10
271,13
272,5
272,21
272,2
273,8
274,5
274,20
274,24
275,9
276,19
277,18
278,3
278,1
279,10
279,6
279,3
279,22
280,20
280,8
281,24
281,10
281,19
281,13
282,18
